Feature,Importance
encounter_id,0.10985688061399226
patient_nbr,0.10882793353177435
total_visits,0.07278308607347818
total_procedures,0.06667125993979273
num_lab_procedures,0.066197397893595
num_medications,0.06119919548801662
number_inpatient,0.05652808884327718
discharge_disposition_id,0.04700172066270858
age,0.04213587684617262
time_in_hospital,0.041445962509680405
number_diagnoses,0.039981335826590796
num_procedures,0.03224921913568091
admission_type_id,0.0232775660370779
admission_source_id,0.022829015685404977
number_emergency,0.017219557863415884
number_outpatient,0.016976688191604482
gender_Male,0.014190934589653821
race_Caucasian,0.011022238072622379
stay_category_Medium,0.009563071678374986
medication_intensity_Moderate,0.009473924175667905
insulin_Steady,0.00932488305822813
change,0.009209482117100024
insulin_No,0.009018655083751806
diabetesMed,0.007911951899559726
metformin_No,0.007232521207371919
metformin_Steady,0.0068920294168179
medication_intensity_High,0.006501972028065168
glipizide_No,0.006022221641888489
insulin_Up,0.005939573335854091
stay_category_Long,0.005827941052772675
glyburide_No,0.005541258317858713
glipizide_Steady,0.005521483865364212
glyburide_Steady,0.005163196650409597
pioglitazone_No,0.004407534958632493
pioglitazone_Steady,0.00414084625455747
rosiglitazone_Steady,0.003989920432902331
rosiglitazone_No,0.003968878932257749
glimepiride_No,0.003382538527917342
glimepiride_Steady,0.003097233516402787
medication_intensity_Very High,0.002876720312561306
race_Hispanic,0.002297588151537752
race_Other,0.0017107145309690356
repaglinide_No,0.0013404024489881074
repaglinide_Steady,0.001254187198163668
metformin_Up,0.0011526664687906065
glipizide_Up,0.0008524559576305597
glyburide_Up,0.000849540971210754
race_Asian,0.0007452314222434246
glyburide-metformin_No,0.0006930622000671002
nateglinide_No,0.0006802362836894214
nateglinide_Steady,0.0006748476425422968
glyburide-metformin_Steady,0.0006723745409399803
glimepiride_Up,0.00034007953423817293
acarbose_No,0.00028423190905917366
pioglitazone_Up,0.0002584649242315047
acarbose_Steady,0.00024828954167345225
rosiglitazone_Up,0.00016160987879458764
repaglinide_Up,0.00010576185308595292
chlorpropamide_No,9.858974962616045e-05
chlorpropamide_Steady,7.774667525658075e-05
tolazamide_Steady,3.381867656264363e-05
miglitol_No,2.4023912804012457e-05
miglitol_Steady,1.5498900693522786e-05
nateglinide_Up,1.0445487179897333e-05
glipizide-metformin_Steady,9.188694080178142e-06
tolbutamide_Steady,4.902151114892697e-06
chlorpropamide_Up,2.0654238057659435e-06
glyburide-metformin_Up,1.7860216504940655e-07
gender_Unknown/Invalid,0.0
primary_diagnosis_available,0.0
acetohexamide_Steady,0.0
acarbose_Up,0.0
miglitol_Up,0.0
troglitazone_Steady,0.0
tolazamide_Up,0.0
glimepiride-pioglitazone_Steady,0.0
metformin-rosiglitazone_Steady,0.0
metformin-pioglitazone_Steady,0.0
