,count,mean,std,min,25%,50%,75%,max
encounter_id,101766.0,165201645.62,102640295.98,12522.0,84961194.0,152388987.0,230270887.5,443867222.0
patient_nbr,101766.0,54330400.69,38696359.35,135.0,23413221.0,45505143.0,87545949.75,189502619.0
admission_type_id,101766.0,2.02,1.45,1.0,1.0,1.0,3.0,8.0
discharge_disposition_id,101766.0,3.72,5.28,1.0,1.0,1.0,4.0,28.0
admission_source_id,101766.0,5.75,4.06,1.0,1.0,7.0,7.0,25.0
time_in_hospital,101766.0,4.4,2.99,1.0,2.0,4.0,6.0,14.0
num_lab_procedures,101766.0,43.1,19.67,1.0,31.0,44.0,57.0,132.0
num_procedures,101766.0,1.34,1.71,0.0,0.0,1.0,2.0,6.0
num_medications,101766.0,16.02,8.13,1.0,10.0,15.0,20.0,81.0
number_outpatient,101766.0,0.37,1.27,0.0,0.0,0.0,0.0,42.0
number_emergency,101766.0,0.2,0.93,0.0,0.0,0.0,0.0,76.0
number_inpatient,101766.0,0.64,1.26,0.0,0.0,0.0,1.0,21.0
number_diagnoses,101766.0,7.42,1.93,1.0,6.0,8.0,9.0,16.0
